date,week,year,quarter,month,week_of_year,tv_spend,radio_spend,print_spend,paid_search_spend,display_ads_spend,social_media_spend,email_spend,tv_spend_contribution,radio_spend_contribution,print_spend_contribution,paid_search_spend_contribution,display_ads_spend_contribution,social_media_spend_contribution,email_spend_contribution,base_sales,promotion,promotion_lift,competitor_activity,competitor_impact,sales_revenue,total_marketing_spend,total_marketing_contribution,sales_wow_change,spend_wow_change,holiday_week
2022-10-10,93,2022,4,10,41,40.89,41.73,16.92,42.15,18.73,53.93,4.93,155.0,52.39,26.61,110.3,41.85,104.03,16.76,626.19,0,0.0,0,-0.0,1133.41,219.28,506.94,0.05,0.06,0
2022-10-17,94,2022,4,10,42,54.35,37.77,8.44,32.7,39.58,48.94,11.02,160.51,53.04,23.87,90.05,65.91,103.71,31.79,626.75,0,0.0,0,-0.0,1187.57,232.81,528.88,0.05,0.06,0
2022-10-24,95,2022,4,10,43,55.34,25.51,11.87,35.28,55.75,31.66,12.11,164.0,46.51,23.38,92.68,84.42,82.18,34.8,627.31,1,79.33,0,-0.0,1170.39,227.53,527.96,-0.01,-0.02,0
2022-10-31,96,2022,4,10,44,40.43,33.14,22.2,21.4,40.08,15.44,8.06,152.14,48.97,26.84,65.08,74.35,50.57,25.69,627.86,0,0.0,0,-0.0,1029.48,180.75,443.64,-0.12,-0.21,0
2022-11-07,97,2022,4,11,45,90.18,31.41,7.64,37.23,44.04,27.13,11.1,186.52,48.68,23.73,94.0,75.86,66.7,32.35,737.71,1,101.8,0,-0.0,1367.78,248.74,527.84,0.33,0.38,1
2022-11-14,98,2022,4,11,46,61.71,9.15,19.93,18.37,38.46,17.56,19.04,182.03,31.15,26.29,58.49,70.86,51.8,47.57,738.36,0,0.0,0,-0.0,1219.09,184.22,468.2,-0.11,-0.26,1
2022-11-21,99,2022,4,11,47,39.2,18.69,5.73,53.98,39.5,37.82,14.81,161.92,33.93,22.45,121.13,70.85,83.37,40.98,739.02,0,0.0,0,-0.0,1299.06,209.73,534.63,0.07,0.14,1
2022-11-28,100,2022,4,11,48,67.5,27.72,29.38,48.67,24.22,26.49,3.67,174.44,42.26,28.48,118.25,53.98,70.52,14.29,739.67,0,0.0,0,-0.0,1247.14,227.64,502.22,-0.04,0.09,0
2022-12-05,101,2022,4,12,49,73.8,39.85,12.94,32.73,31.39,32.91,7.97,184.29,51.61,26.86,91.04,58.89,78.54,24.46,822.58,0,0.0,1,-47.91,1295.29,231.58,515.69,0.04,0.02,1
2022-12-12,102,2022,4,12,50,63.09,11.61,19.16,43.97,54.92,57.5,10.31,181.8,35.11,27.65,107.94,82.72,109.38,30.51,823.31,0,0.0,0,-0.0,1386.73,260.56,575.1,0.07,0.13,1
2022-12-19,103,2022,4,12,51,51.71,9.81,17.11,44.57,28.03,26.88,11.23,172.14,25.9,27.53,110.49,61.54,76.34,32.86,824.03,0,0.0,0,-0.0,1378.56,189.34,506.8,-0.01,-0.27,1
2022-12-26,104,2022,4,12,52,43.92,21.28,17.36,30.66,35.67,38.8,11.66,160.08,35.0,27.53,86.18,65.1,87.65,33.89,824.76,0,0.0,0,-0.0,1287.09,199.35,495.42,-0.07,0.05,1
2023-01-02,105,2023,1,1,1,45.24,6.66,15.35,34.62,45.33,35.41,10.78,154.63,22.07,26.94,91.07,75.35,84.64,32.03,467.77,0,0.0,0,-0.0,965.28,193.39,486.74,-0.25,-0.03,1
2023-01-09,106,2023,1,1,2,51.3,17.43,6.09,37.36,33.87,40.76,8.68,157.55,30.27,23.16,96.56,66.06,91.33,27.06,468.19,0,0.0,0,-0.0,930.54,195.48,491.98,-0.04,0.01,1
2023-01-16,107,2023,1,1,3,46.5,20.95,14.54,34.33,34.36,26.66,9.11,154.51,35.79,24.05,91.59,64.58,72.23,27.84,468.6,0,0.0,0,-0.0,955.22,186.45,470.58,0.03,-0.05,0
2023-01-23,108,2023,1,1,4,70.0,11.96,12.56,29.88,29.69,25.72,13.07,173.27,28.55,23.78,82.55,59.05,67.42,36.6,469.01,0,0.0,0,-0.0,909.13,192.87,471.23,-0.05,0.03,0
2023-01-30,109,2023,1,1,5,55.72,17.62,10.77,26.86,39.65,25.52,10.15,170.66,32.17,22.85,75.53,68.79,66.34,30.76,469.42,0,0.0,0,-0.0,958.83,186.29,467.1,0.05,-0.03,0
2023-02-06,110,2023,1,2,6,34.69,25.74,9.52,33.44,41.72,30.69,5.34,150.45,40.32,21.68,87.85,72.61,74.57,18.33,442.19,0,0.0,0,-0.0,911.38,181.13,465.82,-0.05,-0.03,0
2023-02-13,111,2023,1,2,7,32.28,14.19,14.45,30.49,25.26,43.38,9.3,135.76,32.53,23.21,83.36,55.68,93.34,27.89,442.58,1,80.29,0,-0.0,1026.99,169.35,451.77,0.13,-0.07,0
2023-02-20,112,2023,1,2,8,52.62,12.6,8.67,43.21,21.18,24.73,8.44,150.15,28.13,21.5,106.0,46.53,69.49,26.25,442.97,0,0.0,0,-0.0,882.6,171.45,448.06,-0.14,0.01,0
2023-02-27,113,2023,1,2,9,42.56,17.03,19.83,54.33,17.82,10.37,3.64,146.77,31.46,25.23,125.2,39.89,37.54,13.18,443.35,1,72.82,0,-0.0,948.2,165.57,419.27,0.07,-0.03,0
2023-03-06,114,2023,1,3,10,58.04,11.61,16.63,49.26,38.13,37.31,9.8,160.09,26.66,25.97,119.56,64.07,81.15,28.86,499.21,0,0.0,0,-0.0,982.17,220.77,506.35,0.04,0.33,0
2023-03-13,115,2023,1,3,11,54.16,37.55,15.28,38.32,36.89,28.66,5.82,162.77,47.49,25.95,101.25,66.86,73.63,19.56,499.65,0,0.0,1,-31.47,957.05,216.68,497.51,-0.03,-0.02,0
2023-03-20,116,2023,1,3,12,46.01,18.63,20.12,30.7,63.08,33.23,13.35,156.78,39.29,27.44,85.2,90.07,79.44,36.85,500.08,0,0.0,0,-0.0,1018.32,225.11,515.07,0.06,0.04,0
2023-03-27,117,2023,1,3,13,35.92,13.57,5.76,48.86,33.82,15.63,10.89,143.41,31.53,23.45,115.28,69.73,50.37,32.43,500.52,0,0.0,0,-0.0,920.9,164.45,466.2,-0.1,-0.27,0
2023-04-03,118,2023,2,4,14,28.95,20.34,7.84,46.1,32.59,23.64,5.46,127.79,35.57,21.27,113.66,63.42,60.61,18.77,528.78,1,55.78,0,-0.0,983.13,164.91,441.1,0.07,0.0,0
